dataset	tissue	cluster	hgnc	species_id	module	log2fc
tabib2021	skin	endothelial_vascular	NDUFB2			0.635
tabib2021	skin	endothelial_vascular	ZYX			0.734
tabib2021	skin	endothelial_vascular	PDIA4			0.543
tabib2021	skin	endothelial_vascular	GIMAP1			-0.708
tabib2021	skin	endothelial_vascular	TMEM176A			1.459
tabib2021	skin	endothelial_vascular	CDK5			0.933
tabib2021	skin	endothelial_vascular	PAXIP1-AS1			-0.818
tabib2021	skin	endothelial_vascular	LMBR1			0.641
tabib2021	skin	endothelial_vascular	GPR143			1.568
tabib2021	skin	endothelial_vascular	OFD1			-0.556
tabib2021	skin	endothelial_vascular	CA5B			-0.792
tabib2021	skin	endothelial_vascular	NDUFB11			0.378
tabib2021	skin	endothelial_vascular	UBA1			0.369
tabib2021	skin	endothelial_vascular	CDK16			0.440
tabib2021	skin	endothelial_vascular	TIMP1			0.637
tabib2021	skin	endothelial_vascular	EBP			0.525
tabib2021	skin	endothelial_vascular	PLP2			0.441
tabib2021	skin	endothelial_vascular	FAM104B			0.514
tabib2021	skin	endothelial_vascular	TNMD			-1.656
tabib2021	skin	endothelial_vascular	ARMCX3			-0.414
tabib2021	skin	endothelial_vascular	TCEAL2			-2.547
tabib2021	skin	endothelial_vascular	BEX3			0.627
tabib2021	skin	endothelial_vascular	CHRDL1			-1.709
tabib2021	skin	endothelial_vascular	NDUFA1			0.466
tabib2021	skin	endothelial_vascular	MCTS1			0.561
tabib2021	skin	endothelial_vascular	APLN			2.660
tabib2021	skin	endothelial_vascular	GPC4			-1.481
tabib2021	skin	endothelial_vascular	MIR503HG			1.758
tabib2021	skin	endothelial_vascular	RTL8A			0.485
tabib2021	skin	endothelial_vascular	LDOC1			0.515
tabib2021	skin	endothelial_vascular	IDS			-0.432
tabib2021	skin	endothelial_vascular	HMGB3			1.281
tabib2021	skin	endothelial_vascular	FATE1			1.681
tabib2021	skin	endothelial_vascular	BCAP31			0.496
tabib2021	skin	endothelial_vascular	IRAK1			0.509
tabib2021	skin	endothelial_vascular	FAM50A			0.422
tabib2021	skin	endothelial_vascular	SLC10A3			0.499
tabib2021	skin	endothelial_vascular	G6PD			0.626
tabib2021	skin	endothelial_vascular	CTAG2			31.759
tabib2021	skin	endothelial_vascular	F8			0.658
tabib2021	skin	endothelial_vascular	VBP1			0.378
